Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
18/05/2021,10306910999,32308387,0.16,0.16,0.18,0.14,0.08,0.09,0.12,0.08,0.08,0.15,0.09,0.04,0.02,0.03,0.00,0.04,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.00,0.00,0.01,0.03,0.12,0.01,0.02,0.05,0.10,0.02,0.10,0.16,0.15,0.15,0.35,0.76,0.19,0.25,0.21,0.16,0.13,0.11,0.15,0.11,0.11
19/05/2021,10306910999,32308387,0.15,0.29,0.13,0.17,0.12,0.07,0.11,0.07,0.07,0.11,0.05,0.00,0.00,0.03,0.00,0.04,0.00,0.02,0.02,0.04,0.56,0.03,0.08,0.39,0.03,0.00,0.01,0.02,0.00,0.05,0.01,0.06,0.07,0.05,0.10,0.15,0.16,0.61,0.80,0.26,0.18,0.21,0.14,0.16,0.16,0.13,0.18,0.10
20/05/2021,10306910999,32308387,0.14,0.19,0.15,0.14,0.17,0.13,0.09,0.11,0.07,0.07,0.11,0.06,0.08,0.21,0.09,0.21,0.81,0.20,0.23,0.24,0.23,0.23,0.19,0.13,0.08,0.12,0.06,0.02,0.00,0.00,0.00,0.03,0.07,0.08,0.05,0.14,0.20,0.80,0.19,0.87,0.89,0.31,0.12,0.20,0.17,0.11,0.13,0.12
21/05/2021,10306910999,32308387,0.15,0.21,0.08,0.07,0.11,0.07,0.07,0.10,0.06,0.09,0.10,0.06,0.08,0.15,0.07,0.10,0.12,0.09,0.25,0.19,0.12,0.23,0.15,0.12,0.16,0.12,0.16,0.13,0.10,0.13,0.14,0.12,0.24,0.17,0.15,0.20,0.15,0.13,0.24,0.30,0.25,0.20,0.15,0.27,0.69,0.14,0.19,0.11
22/05/2021,10306910999,32308387,0.11,0.14,0.10,0.11,0.12,0.12,0.14,0.16,0.07,0.08,0.07,0.01,0.00,0.00,0.00,0.00,0.01,0.68,0.11,0.48,0.00,0.00,0.01,0.00,0.49,0.09,0.01,0.02,0.00,0.01,0.02,0.00,0.00,0.06,0.05,0.10,0.42,0.22,0.58,0.19,0.19,0.22,0.80,0.94,0.33,0.42,0.12,0.11
23/05/2021,10306910999,32308387,0.10,0.07,0.11,0.07,0.07,0.10,0.08,0.08,0.10,0.06,0.07,0.09,0.05,0.08,0.07,0.07,0.14,0.08,0.16,0.72,0.15,0.11,0.15,0.15,0.09,0.02,0.00,0.01,1.39,1.03,0.06,0.06,0.08,0.07,0.06,0.11,0.15,0.28,1.13,0.66,0.36,0.72,0.17,0.65,0.22,0.13,0.12,0.15
24/05/2021,10306910999,32308387,0.15,0.16,0.10,0.07,0.09,0.13,0.08,0.08,0.10,0.06,0.08,0.08,0.04,0.06,0.13,0.00,0.05,0.02,0.06,0.04,0.03,0.52,0.28,0.07,0.05,0.05,0.13,0.03,0.02,0.02,0.01,0.01,0.08,0.11,0.13,0.11,0.12,0.64,0.72,0.69,0.13,0.09,0.13,0.13,0.82,0.88,0.31,0.14
25/05/2021,10306910999,32308387,0.14,0.10,0.11,0.13,0.13,0.10,0.09,0.07,0.09,0.09,0.04,0.01,0.02,0.03,0.51,0.07,0.17,0.43,0.05,0.02,0.04,0.05,0.01,0.00,0.00,0.05,0.00,0.02,0.15,0.01,0.02,0.02,0.08,0.07,0.11,0.09,0.16,0.16,0.11,0.19,0.34,0.39,0.12,0.15,0.31,0.63,0.11,0.12
26/05/2021,10306910999,32308387,0.10,0.09,0.11,0.14,0.12,0.15,0.10,0.10,0.07,0.07,0.09,0.08,0.02,0.09,0.12,0.12,0.64,0.12,0.03,0.03,0.01,0.01,0.03,0.03,0.15,0.06,0.10,0.02,0.00,0.02,0.01,0.01,0.07,0.20,0.21,0.22,0.25,0.22,1.19,0.89,0.22,0.21,0.20,0.19,0.18,0.17,0.13,0.14
27/05/2021,10306910999,32308387,0.17,0.14,0.12,0.13,0.14,0.10,0.08,0.12,0.07,0.07,0.07,0.02,0.00,0.03,0.14,0.39,0.58,0.07,0.27,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.13,0.27,0.17,0.15,0.19,0.17,1.10,0.55,0.21,0.18,0.21,0.18,0.64,0.64,0.21,0.20,0.10
